<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РусГидро;D;25/11/22;000000;0.762;0.764;0.754;0.7635;38876000;0
РусГидро;D;26/11/22;000000;0.7635;0.7635;0.7635;0.7635;0;0
РусГидро;D;27/11/22;000000;0.7635;0.7635;0.7635;0.7635;0;0
РусГидро;D;28/11/22;000000;0.7615;0.7788;0.7572;0.766;243916000;0
РусГидро;D;29/11/22;000000;0.765;0.7709;0.7563;0.7596;62715000;0
РусГидро;D;30/11/22;000000;0.759;0.7594;0.75;0.755;73837000;0
РусГидро;D;01/12/22;000000;0.7559;0.7575;0.751;0.7518;43783000;0
РусГидро;D;02/12/22;000000;0.7501;0.7536;0.7414;0.7424;80642000;0
РусГидро;D;03/12/22;000000;0.7424;0.7424;0.7424;0.7424;0;0
РусГидро;D;04/12/22;000000;0.7424;0.7424;0.7424;0.7424;0;0
РусГидро;D;05/12/22;000000;0.7401;0.753;0.7355;0.7474;91033000;0
РусГидро;D;06/12/22;000000;0.7476;0.7516;0.7374;0.7397;66408000;0
РусГидро;D;07/12/22;000000;0.7373;0.7429;0.7306;0.7375;58012000;0
РусГидро;D;08/12/22;000000;0.74;0.7459;0.731;0.7328;63786000;0
РусГидро;D;09/12/22;000000;0.734;0.7434;0.7332;0.7362;48469000;0
РусГидро;D;10/12/22;000000;0.7362;0.7362;0.7362;0.7362;0;0
РусГидро;D;11/12/22;000000;0.7362;0.7362;0.7362;0.7362;0;0
РусГидро;D;12/12/22;000000;0.7409;0.7521;0.737;0.7497;72144000;0
РусГидро;D;13/12/22;000000;0.7499;0.7555;0.743;0.7474;54077000;0
РусГидро;D;14/12/22;000000;0.7474;0.7474;0.7182;0.7333;141381000;0
РусГидро;D;15/12/22;000000;0.7319;0.7332;0.7031;0.7097;244833000;0
РусГидро;D;16/12/22;000000;0.7097;0.7353;0.7066;0.7248;147276000;0
РусГидро;D;17/12/22;000000;0.7248;0.7248;0.7248;0.7248;0;0
РусГидро;D;18/12/22;000000;0.7248;0.7248;0.7248;0.7248;0;0
РусГидро;D;19/12/22;000000;0.7232;0.7343;0.721;0.7242;82571000;0
РусГидро;D;20/12/22;000000;0.7211;0.7499;0.7211;0.7421;94512000;0
РусГидро;D;21/12/22;000000;0.744;0.7607;0.7415;0.7493;101351000;0
РусГидро;D;22/12/22;000000;0.7507;0.7544;0.7402;0.7433;48135000;0
РусГидро;D;23/12/22;000000;0.741;0.7439;0.705;0.7329;106143000;0
РусГидро;D;24/12/22;000000;0.7329;0.7329;0.7329;0.7329;0;0
РусГидро;D;25/12/22;000000;0.7329;0.7329;0.7329;0.7329;0;0
РусГидро;D;26/12/22;000000;0.7328;0.747;0.7328;0.7452;41293000;0
РусГидро;D;27/12/22;000000;0.745;0.7564;0.739;0.7549;80870000;0
РусГидро;D;28/12/22;000000;0.7551;0.7673;0.7478;0.7607;103332000;0
РусГидро;D;29/12/22;000000;0.7595;0.762;0.755;0.7578;34644000;0
РусГидро;D;30/12/22;000000;0.7614;0.7637;0.7535;0.7625;41601000;0
РусГидро;D;31/12/22;000000;0.7625;0.7625;0.7625;0.7625;0;0
РусГидро;D;01/01/23;000000;0.7625;0.7625;0.7625;0.7625;0;0
РусГидро;D;02/01/23;000000;0.7625;0.7625;0.7625;0.7625;0;0
РусГидро;D;03/01/23;000000;0.7625;0.7625;0.7625;0.7625;0;0
РусГидро;D;04/01/23;000000;0.774;0.774;0.7613;0.7641;26011000;0
РусГидро;D;05/01/23;000000;0.761;0.7672;0.7575;0.7632;19157000;0
РусГидро;D;06/01/23;000000;0.7586;0.7691;0.7561;0.7608;51629000;0
РусГидро;D;07/01/23;000000;0.7608;0.7608;0.7608;0.7608;0;0
РусГидро;D;08/01/23;000000;0.7608;0.7608;0.7608;0.7608;0;0
РусГидро;D;09/01/23;000000;0.7608;0.7647;0.7555;0.7632;44313000;0
РусГидро;D;10/01/23;000000;0.7665;0.7665;0.749;0.7597;91260000;0
РусГидро;D;11/01/23;000000;0.7602;0.771;0.757;0.7694;83141000;0
РусГидро;D;12/01/23;000000;0.7684;0.7697;0.76;0.7609;42927000;0
РусГидро;D;13/01/23;000000;0.7644;0.7644;0.7523;0.7614;50823000;0
РусГидро;D;14/01/23;000000;0.7614;0.7614;0.7614;0.7614;0;0
РусГидро;D;15/01/23;000000;0.7614;0.7614;0.7614;0.7614;0;0
